"RIGHT_CODE","PROFILE_NAME"
"FileStorageView","FILE_STORAGE_USER"
"FileStorageUpload","FILE_STORAGE_USER"
"FileStorageDownload","FILE_STORAGE_USER"
"FileStorageAdminAction","FILE_STORAGE_ADMIN"
